ID,Population,Individual,LGRScaleGeneticsIDLink,DateSampled,PhenotypicSex,Length,Clip,Wire,PIT,Disposition,GenComments,GenSex,GenPa,GenMa,PopName,agePBT,GSIRepUnit,RepUnitProb,ReleaseGroup,Age,Origin,Rear,HaulTo,Pooled FL
2725,OtsLGRF25S,OtsLGRF25S_4735,C-04735,10-Sep-25,M,60,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
2742,OtsLGRF25S,OtsLGRF25S_4759,C-04759,11-Sep-25,M,61,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
2769,OtsLGRF25S,OtsLGRF25S_4795,C-04795,11-Sep-25,M,74,AI,NA,3DD.0078EDF3A6,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
2776,OtsLGRF25S,OtsLGRF25S_4805,C-04805,11-Sep-25,M,65,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
2785,OtsLGRF25S,OtsLGRF25S_4817,C-04817,11-Sep-25,M,70,AI,NA,3DD.007774DB13,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,LyonsFerryHatchery,72
2801,OtsLGRF25S,OtsLGRF25S_4837,C-04837,11-Sep-25,F,70,AI,NA,3DD.00777534E1,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,72
2853,OtsLGRF25S,OtsLGRF25S_4911,C-04911,11-Sep-25,M,82,AI,NA,3DD.0078ED70CE,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,82
2860,OtsLGRF25S,OtsLGRF25S_4921,C-04921,11-Sep-25,M,65,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
2862,OtsLGRF25S,OtsLGRF25S_4923,C-04923,11-Sep-25,F,73,AI,NA,3DD.007775729D,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,77
2866,OtsLGRF25S,OtsLGRF25S_4927,C-04927,11-Sep-25,F,77,AI,NA,3DD.0078ED70F7,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,77
2896,OtsLGRF25S,OtsLGRF25S_4969,C-04969,11-Sep-25,M,63,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
2924,OtsLGRF25S,OtsLGRF25S_5007,C-05007,12-Sep-25,M,91,AI,NA,3DD.0078ED7109,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,92
2941,OtsLGRF25S,OtsLGRF25S_5029,C-05029,12-Sep-25,F,74,AI,NA,3DD.0078ED70BA,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
2946,OtsLGRF25S,OtsLGRF25S_5037,C-05037,12-Sep-25,F,72,AI,NA,3DD.0078ED70C7,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,72
2964,OtsLGRF25S,OtsLGRF25S_5067,C-05067,12-Sep-25,F,77,AI,NA,3DD.0078ED70FC,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,1.4,H,RR,LyonsFerryHatchery,77
2968,OtsLGRF25S,OtsLGRF25S_5075,C-05075,12-Sep-25,M,70,AI,NA,3DD.0078ED7108,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,72
2973,OtsLGRF25S,OtsLGRF25S_5083,C-05083,12-Sep-25,F,79,AI,NA,3DD.0078ED70D2,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,LyonsFerryHatchery,82
2981,OtsLGRF25S,OtsLGRF25S_5093,C-05093,12-Sep-25,M,44,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.1,,,,47
3025,OtsLGRF25S,OtsLGRF25S_5157,C-05157,12-Sep-25,F,86,AI,NA,3DD.0078ED70DA,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,87
3093,OtsLGRF25S,OtsLGRF25S_5251,C-05251,13-Sep-25,M,67,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3097,OtsLGRF25S,OtsLGRF25S_5257,C-05257,13-Sep-25,M,68,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,,72
3115,OtsLGRF25S,OtsLGRF25S_5283,C-05283,14-Sep-25,F,63,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3185,OtsLGRF25S,OtsLGRF25S_5377,C-05377,14-Sep-25,F,64,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3203,OtsLGRF25S,OtsLGRF25S_5409,C-05409,15-Sep-25,F,84,AI,NA,3DD.003D7F717A,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,87
3206,OtsLGRF25S,OtsLGRF25S_5413,C-05413,15-Sep-25,M,59,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3208,OtsLGRF25S,OtsLGRF25S_5417,C-05417,15-Sep-25,F,73,AI,NA,3DD.003D7F7179,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,LyonsFerryHatchery,77
3241,OtsLGRF25S,OtsLGRF25S_5463,C-05463,15-Sep-25,F,83,AI,NA,3DD.003D7F717F,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,87
3278,OtsLGRF25S,OtsLGRF25S_5513,C-05513,15-Sep-25,M,80,AI,NA,3DD.003D7F71C3,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,LyonsFerryHatchery,82
3280,OtsLGRF25S,OtsLGRF25S_5515,C-05515,15-Sep-25,M,68,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3293,OtsLGRF25S,OtsLGRF25S_5533,C-05533,16-Sep-25,M,68,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,,72
3315,OtsLGRF25S,OtsLGRF25S_5561,C-05561,16-Sep-25,M,62,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3319,OtsLGRF25S,OtsLGRF25S_5569,C-05569,16-Sep-25,M,55,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,57
3326,OtsLGRF25S,OtsLGRF25S_5579,C-05579,16-Sep-25,F,74,AI,NA,3D6.1D5953D6EF,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,1.2,H,RR,LyonsFerryHatchery,77
3352,OtsLGRF25S,OtsLGRF25S_5615,C-05615,20-Sep-25,F,67,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3366,OtsLGRF25S,OtsLGRF25S_5635,C-05635,20-Sep-25,M,57,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,1.1,H,RR,,57
3385,OtsLGRF25S,OtsLGRF25S_5661,C-05661,20-Sep-25,M,66,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3389,OtsLGRF25S,OtsLGRF25S_5667,C-05667,20-Sep-25,F,74,AI,NA,3DD.003D7F70EC,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,77
3408,OtsLGRF25S,OtsLGRF25S_5691,C-05691,20-Sep-25,F,79,AI,NA,3DD.003D7F70C3,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,82
3415,OtsLGRF25S,OtsLGRF25S_5705,C-05705,21-Sep-25,M,60,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,62
3457,OtsLGRF25S,OtsLGRF25S_5761,C-05761,21-Sep-25,M,42,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.1,,,,42
3460,OtsLGRF25S,OtsLGRF25S_5765,C-05765,21-Sep-25,M,65,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3523,OtsLGRF25S,OtsLGRF25S_5853,C-05853,21-Sep-25,M,68,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3528,OtsLGRF25S,OtsLGRF25S_5859,C-05859,22-Sep-25,M,65,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,,67
3531,OtsLGRF25S,OtsLGRF25S_5863,C-05863,22-Sep-25,F,69,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3533,OtsLGRF25S,OtsLGRF25S_5867,C-05867,22-Sep-25,F,68,AI,NA,NA,RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3575,OtsLGRF25S,OtsLGRF25S_5927,C-05927,22-Sep-25,M,66,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3606,OtsLGRF25S,OtsLGRF25S_5975,C-05975,22-Sep-25,M,65,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3625,OtsLGRF25S,OtsLGRF25S_6001,C-06001,22-Sep-25,M,64,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,67
3628,OtsLGRF25S,OtsLGRF25S_6005,C-06005,22-Sep-25,F,81,AI,NA,3DD.003D7F72D3,BS;RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.4,,,LyonsFerryHatchery,82
3630,OtsLGRF25S,OtsLGRF25S_6007,C-06007,22-Sep-25,M,69,AI,NA,NA,RR,NA,M,NA,NA,Unassigned,,FALL,1,NA,0.2,,,,72
3643,OtsLGRF25S,OtsLGRF25S_6025,C-06025,22-Sep-25,F,80,AI,NA,3DD.003D7F72B0,BS;RR,NA,F,NA,NA,Unassigned,,FALL,1,NA,0.3,,,LyonsFerryHatchery,82
